"title","genre","budget_million","worldwide_gross_million","imdb_rating","rotten_tomatoes","running_time_min","mpaa_rating"
"Jurassic Park","Action",63,923.07,7.9,87,NA,"PG-13"
"Harry Potter and the Goblet of Fire","Adventure",150,896.01,7.6,88,157,"PG-13"
"Star Wars Ep. III: Revenge of the Sith","Adventure",115,849,NA,NA,140,"PG-13"
"Shrek the Third","Adventure",160,798.96,6.1,41,92,"PG"
"Harry Potter and the Prisoner of Azkaban","Adventure",130,795.54,7.7,90,141,"PG"
"The Lost World: Jurassic Park","Action",75,786.69,6,NA,134,"PG-13"
"The Twilight Saga: New Moon","Drama",50,702.62,NA,28,130,"PG-13"
"Armageddon","Adventure",140,554.6,6.1,42,150,"PG-13"
"The Simpsons Movie","Comedy",72.5,527.07,7.6,89,86,"PG-13"
"Sherlock Holmes","Adventure",80,518.25,7.5,69,NA,"PG-13"
"Home Alone","Comedy",15,476.68,7,47,NA,"PG"
"300","Action",60,456.07,7.8,60,117,"R"
"X2","Action",125,407.71,7.8,NA,133,"PG-13"
"Gone with the Wind","Drama",3.9,390.53,8.2,97,222,"G"
"Happy Feet","Adventure",85,385,6.7,74,108,"PG"
"Planet of the Apes","Adventure",100,362.21,5.5,44,120,"PG-13"
"Home Alone 2: Lost in New York","Comedy",20,358.99,5.8,21,NA,"PG"
"Catch Me if You Can","Drama",52,351.11,5.7,96,141,"PG-13"
"The Karate Kid","Adventure",40,350.59,6.1,67,140,"PG"
"Wanted","Action",75,340.93,6.4,71,110,"R"
"Schindler's List","Drama",25,321.2,8.9,97,NA,"R"
"Liar Liar","Comedy",45,302.71,6.7,82,87,"PG-13"
"Spirited Away","Adventure",19,274.95,NA,NA,NA,"PG"
"American Gangster","Drama",100,265.7,7.9,79,157,"R"
"The Full Monty","Comedy",3.5,257.94,7.2,95,90,"R"
"Space Jam","Comedy",80,250.2,5.6,36,87,"PG"
"Big Daddy","Comedy",30,234.78,4.7,40,95,"PG-13"
"Interview with the Vampire: The Vampire Chronicles","Horror",50,223.56,7.4,NA,NA,"R"
"The Patriot","Drama",110,215.3,6.9,62,165,"R"
"Moonraker","Action",31,210.3,6.1,64,NA,NA
"Braveheart","Drama",72,209,8.4,77,NA,"R"
"The Sorcerer's Apprentice","Adventure",160,200.09,6.4,42,110,"PG"
"Gake no ue no Ponyo","Adventure",34,199.09,7.8,NA,NA,"G"
"Spy Kids","Adventure",35,197.69,5.7,93,88,"PG"
"The First Wives Club","Comedy",30,181.49,5.6,41,90,"PG"
"Dodgeball: A True Underdog Story","Comedy",30,167.73,6.6,NA,92,"PG-13"
"Live and Let Die","Action",7,161.8,6.8,64,NA,NA
"Memoirs of a Geisha","Drama",85,161.51,7.1,36,145,"PG-13"
"Hellboy 2: The Golden Army","Action",82.5,160.39,7.3,NA,NA,"PG-13"
"Rocky Balboa","Drama",24,155.72,7.4,76,102,"PG"
"Devil's Advocate","Drama",57,153.01,NA,NA,144,"R"
"Chocolat","Drama",25,152.5,7.3,62,122,"PG-13"
"Speed II: Cruise Control","Action",110,150.47,3.4,NA,125,"PG-13"
"Mononoke-hime","Adventure",20,150.35,8.3,NA,NA,"PG-13"
"The Game Plan","Comedy",22,147.91,6.3,27,110,"PG"
