"name","age","age_group","nationality","club","position","overall","potential","value_million_eur","wage_thousand_eur","reputation"
"Coutinho",26,"26-29","Brazil","FC Barcelona","Forward",88,89,69.5,340,"3-star"
"S. Milinković-Savić",23,"22-25","Serbia","Lazio","Midfielder",85,90,50.5,73,"2-star"
"E. Banega",30,"30+","Argentina","Sevilla FC","Midfielder",84,84,29,31,"3-star"
"T. Lemar",22,"22-25","France","Atlético Madrid","Midfielder",83,89,35.5,64,"3-star"
"Allan",27,"26-29","Brazil","Napoli","Midfielder",83,83,26.5,87,"2-star"
"Aduriz",37,"30+","Spain","Athletic Club de Bilbao","Forward",82,82,8,29,"3-star"
"A. Florenzi",27,"26-29","Italy","Roma","Defender",82,83,20.5,73,"3-star"
"Willian José",26,"26-29","Brazil","Real Sociedad","Forward",82,83,26.5,44,"2-star"
"Bartra",27,"26-29","Spain","Real Betis","Defender",82,83,21,32,"3-star"
"Gelson Martins",23,"22-25","Portugal","Atlético Madrid","Midfielder",82,87,29.5,59,"3-star"
"Jardel",32,"30+","Brazil","SL Benfica","Defender",82,82,12.5,17,"2-star"
"A. Belotti",24,"22-25","Italy","Torino","Forward",82,87,30,58,"3-star"
"S. Coates",27,"26-29","Uruguay","Sporting CP","Defender",82,83,21,19,"3-star"
"S. Bender",29,"26-29","Germany","Bayer 04 Leverkusen","Defender",81,81,14,69,"2-star"
"K. Bellarabi",28,"26-29","Germany","Bayer 04 Leverkusen","Midfielder",81,81,18,76,"3-star"
"A. Milik",24,"22-25","Poland","Napoli","Forward",81,88,25.5,71,"3-star"
"C. Kramer",27,"26-29","Germany","Borussia Mönchengladbach","Midfielder",81,82,17,35,"2-star"
"T. Strakosha",23,"22-25","Albania","Lazio","Goalkeeper",81,86,17,36,"1-star"
"S. Vrsaljko",26,"26-29","Croatia","Inter","Defender",81,84,18,57,"2-star"
"Maicon",29,"26-29","Brazil","Galatasaray SK","Defender",80,80,11.5,63,"2-star"
"V. Wanyama",27,"26-29","Kenya","Tottenham Hotspur","Midfielder",80,82,14.5,86,"2-star"
"G. Lo Celso",22,"22-25","Argentina","Real Betis","Midfielder",80,86,20,72,"1-star"
"I. Akinfeev",32,"30+","Russia","PFC CSKA Moscow","Goalkeeper",80,80,8.5,1,"3-star"
"G. Cahill",32,"30+","England","Chelsea","Defender",80,80,8.5,99,"3-star"
"Welington Dano",30,"30+","Brazil","Cruzeiro","Defender",80,80,10.5,34,"1-star"
"D. Demme",26,"26-29","Germany","RB Leipzig","Midfielder",79,80,12,50,"1-star"
"G. Mercado",31,"30+","Argentina","Sevilla FC","Defender",79,79,8.5,19,"1-star"
"Daniel Podence",22,"22-25","Portugal","Olympiacos CFP","Midfielder",78,84,14,1,"1-star"
"D. Djené",26,"26-29","Togo","Getafe CF","Defender",78,79,10,23,"1-star"
