"movie_title","release_year","budget_million","gross_million","profit_multiplier","title_length","imdb_score","duration_minutes","votes_thousand","faces_on_poster","movie_facebook_likes","main_genre","genres","content_rating"
"Friday the 13th Part 2 ",1981,1.25,4.11,3.29,23,6.1,87,39.7,0,0,"Horror","Horror|Mystery|Thriller","R"
"The Howling ",1981,1,2.93,2.93,12,6.6,91,22.8,0,0,"Horror","Horror","R"
"Friday the 13th Part III ",1982,4,8.12,2.03,25,5.7,91,32,0,0,"Horror","Horror|Thriller","R"
"Halloween III: Season of the Witch ",1982,2.5,8.28,3.31,35,4.6,98,28.6,0,0,"Horror","Horror|Mystery|Sci-Fi","R"
"A Nightmare on Elm Street ",1984,1.8,3.98,2.21,26,7.5,101,149.3,1,10000,"Horror","Horror","X"
"Firestarter ",1984,15,36.15,2.41,12,6,114,22.8,1,0,"Action","Action|Horror|Sci-Fi|Thriller","R"
"Friday the 13th: The Final Chapter ",1984,1.8,4.64,2.58,35,5.9,97,29.5,0,0,"Horror","Horror|Thriller","R"
"A Nightmare on Elm Street 2: Freddy's Revenge ",1985,2.2,6.84,3.11,46,5.4,87,43.5,0,0,"Fantasy","Fantasy|Horror","R"
"Friday the 13th: A New Beginning ",1985,2.2,7.24,3.29,33,4.7,92,22.5,0,1000,"Horror","Horror|Mystery|Thriller","R"
"Jason Lives: Friday the 13th Part VI ",1986,3,4.74,1.58,37,5.9,86,25.3,0,0,"Horror","Horror|Thriller","R"
"A Nightmare on Elm Street 3: Dream Warriors ",1987,4.5,11.74,2.61,44,6.6,88,49.8,0,0,"Action","Action|Fantasy|Horror|Thriller","X"
"A Nightmare on Elm Street 4: The Dream Master ",1988,7,22.47,3.21,46,5.7,99,36.1,0,0,"Fantasy","Fantasy|Horror|Thriller","R"
"Friday the 13th Part VII: The New Blood ",1988,2.8,8.04,2.87,40,5.3,88,21.4,0,0,"Horror","Horror","R"
"Poltergeist III ",1988,10.5,27.72,2.64,16,4.5,98,13.2,0,616,"Horror","Horror|Thriller","PG-13"
"Arachnophobia ",1990,31,62.93,2.03,14,6.3,103,50.4,0,0,"Comedy","Comedy|Fantasy|Horror|Thriller","PG-13"
"Child's Play 2 ",1990,13,26.26,2.02,15,5.7,72,31.4,0,0,"Fantasy","Fantasy|Horror","R"
"Gremlins 2: The New Batch ",1990,50,57.5,1.15,26,6.3,106,68.4,0,0,"Comedy","Comedy|Fantasy|Horror","PG-13"
"Tremors ",1990,11,19.25,1.75,8,7.1,96,90.1,0,11000,"Comedy","Comedy|Horror|Sci-Fi","PG-13"
"Alien 3 ",1992,50,74.5,1.49,8,6.4,145,207.7,0,0,"Action","Action|Horror|Sci-Fi","R"
"Death Becomes Her ",1992,55,122.65,2.23,18,6.4,104,79,3,8000,"Comedy","Comedy|Fantasy|Horror","PG-13"
"Jason Goes to Hell: The Final Friday ",1993,2.5,7.35,2.94,37,4.3,91,19.3,0,949,"Fantasy","Fantasy|Horror|Thriller","R"
"Interview with the Vampire: The Vampire Chronicles ",1994,60,107.4,1.79,51,7.6,123,239.8,0,11000,"Drama","Drama|Fantasy|Horror","R"
"Wolf ",1994,70,82.6,1.18,5,6.2,125,43.6,1,0,"Drama","Drama|Horror|Romance|Thriller","R"
"Species ",1995,35,66.5,1.9,8,5.8,108,61,0,0,"Action","Action|Horror|Sci-Fi|Thriller","R"
"Tales from the Crypt: Demon Knight ",1995,13,27.17,2.09,35,6.7,92,16.6,1,0,"Action","Action|Fantasy|Horror|Thriller","R"
"Vampire in Brooklyn ",1995,20,61.8,3.09,20,4.5,100,17.3,1,1000,"Comedy","Comedy|Fantasy|Horror|Romance","R"
"From Dusk Till Dawn ",1996,19,39.33,2.07,20,7.3,108,219.1,2,12000,"Crime","Crime|Fantasy|Horror","R"
"The Craft ",1996,15,33.15,2.21,10,6.2,101,57.1,0,6000,"Drama","Drama|Fantasy|Horror|Thriller","R"
"The Ghost and the Darkness ",1996,55,102.85,1.87,27,6.8,110,46.2,0,0,"Adventure","Adventure|Drama|Horror|Thriller","R"
"Alien: Resurrection ",1997,75,57.75,0.77,20,6.3,116,170.2,0,0,"Action","Action|Horror|Sci-Fi","R"
"Anaconda ",1997,45,93.6,2.08,9,4.6,89,73.5,0,0,"Action","Action|Adventure|Horror|Thriller","PG-13"
"Spawn ",1997,40,100,2.5,6,5.2,98,52.8,0,0,"Action","Action|Horror","R"
"Blade ",1998,45,75.15,1.67,6,7.1,110,191.4,1,0,"Action","Action|Horror","R"
"Vampires ",1998,20,30.2,1.51,9,6.1,104,42.7,0,0,"Action","Action|Horror|Thriller","R"
"End of Days ",1999,83,86.32,1.04,12,5.7,121,89.5,0,2000,"Action","Action|Fantasy|Horror|Mystery","R"
"House on Haunted Hill ",1999,19,41.23,2.17,22,5.6,93,45.3,0,0,"Horror","Horror|Mystery|Thriller","R"
"Stigmata ",1999,29,81.78,2.82,9,6.2,103,54.4,0,0,"Horror","Horror","R"
"Stir of Echoes ",1999,12,32.52,2.71,15,7,99,62.5,0,0,"Horror","Horror|Mystery|Thriller","R"
"The Haunting ",1999,80,118.4,1.48,13,4.9,113,58.2,0,0,"Fantasy","Fantasy|Horror|Mystery|Thriller","PG-13"
"Book of Shadows: Blair Witch 2 ",2000,15,32.85,2.19,31,4,90,29,0,949,"Adventure","Adventure|Fantasy|Horror|Mystery|Thriller","R"
"Hollow Man ",2000,95,114,1.2,11,5.7,119,101.8,0,0,"Action","Action|Horror|Sci-Fi|Thriller","R"
"Urban Legends: Final Cut ",2000,14,45.5,3.25,25,4.1,97,13,2,243,"Horror","Horror|Mystery|Thriller","R"
"What Lies Beneath ",2000,100,49,0.49,18,6.6,130,98.4,0,0,"Drama","Drama|Fantasy|Horror|Mystery|Thriller","PG-13"
"Jason X ",2001,11,33.44,3.04,8,4.4,85,39,1,0,"Action","Action|Horror|Sci-Fi|Thriller","R"
"Thir13en Ghosts ",2001,20,58.2,2.91,16,5.5,91,65.5,0,0,"Horror","Horror","R"
"Blade II ",2002,54,129.6,2.4,9,6.7,117,158.3,1,0,"Action","Action|Horror|Sci-Fi|Thriller","R"
"Darkness ",2002,10.6,34.03,3.21,9,5.4,103,16.7,0,1000,"Horror","Horror","PG-13"
"Halloween: Resurrection ",2002,15,34.5,2.3,24,4.1,94,26.9,5,0,"Comedy","Comedy|Horror|Thriller","R"
"The Mothman Prophecies ",2002,32,49.92,1.56,23,6.5,119,63.7,0,0,"Drama","Drama|Horror|Mystery|Thriller","PG-13"
"Final Destination 2 ",2003,26,60.06,2.31,20,6.2,90,120.8,0,0,"Horror","Horror|Thriller","R"
"Gothika ",2003,40,87.2,2.18,8,5.8,98,89.6,1,0,"Horror","Horror|Mystery|Thriller","R"
"Jeepers Creepers II ",2003,17,33.66,1.98,20,5.6,104,45.1,0,0,"Horror","Horror","R"
"The Haunted Mansion ",2003,90,139.5,1.55,20,4.9,88,32,0,988,"Comedy","Comedy|Family|Fantasy|Horror|Mystery","PG"
"Wrong Turn ",2003,12.6,36.79,2.92,11,6.1,84,87.5,1,0,"Horror","Horror|Thriller","R"
"AVP: Alien vs. Predator ",2004,60,96.6,1.61,24,5.6,109,143.6,0,0,"Action","Action|Horror|Sci-Fi|Thriller","PG-13"
"Blade: Trinity ",2004,65,91.65,1.41,15,5.9,122,133,0,0,"Action","Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller","R"
"Exorcist: The Beginning ",2004,50,51.5,1.03,24,5.1,125,28.6,0,893,"Horror","Horror|Mystery|Thriller","R"
"Hellboy ",2004,66,101.64,1.54,8,6.8,132,244.6,1,0,"Action","Action|Fantasy|Horror|Sci-Fi","PG-13"
"Scooby-Doo 2: Monsters Unleashed ",2004,80,110.4,1.38,33,4.9,93,33.2,0,567,"Adventure","Adventure|Comedy|Family|Fantasy|Horror|Mystery","PG"
"Boogeyman ",2005,20,61.4,3.07,10,4.1,89,26,0,1000,"Drama","Drama|Horror|Mystery|Thriller","PG-13"
"Cry_Wolf ",2005,1,2.82,2.82,9,5.9,90,23,0,816,"Drama","Drama|Horror|Mystery|Thriller","PG-13"
"Hide and Seek ",2005,30,42.9,1.43,14,5.9,101,70.2,0,0,"Drama","Drama|Horror|Mystery|Thriller","R"
"Hostel ",2005,4.8,13.06,2.72,7,5.9,93,138.8,0,0,"Horror","Horror","R"
"The Skeleton Key ",2005,43,89.01,2.07,17,6.5,104,87.4,0,0,"Horror","Horror|Mystery|Thriller","PG-13"
"Pulse ",2006,20,60.2,3.01,6,4.7,90,25,0,0,"Drama","Drama|Horror|Sci-Fi|Thriller","PG-13"
"The Covenant ",2006,20,54.6,2.73,13,5.3,97,39.5,0,3000,"Action","Action|Fantasy|Horror|Thriller","PG-13"
"The Grudge 2 ",2006,20,50.6,2.53,13,5,137,38.7,0,930,"Horror","Horror|Thriller","PG-13"
"The Texas Chainsaw Massacre: The Beginning ",2006,16,52,3.25,43,5.9,83,56.3,0,0,"Horror","Horror","R"
"30 Days of Night ",2007,32,88.64,2.77,17,6.6,113,138.4,0,0,"Horror","Horror","R"
"Aliens vs. Predator: Requiem ",2007,40,59.2,1.48,29,4.7,102,92.8,0,0,"Action","Action|Horror|Sci-Fi|Thriller","R"
"The Hills Have Eyes II ",2007,15,38.25,2.55,23,5.1,89,49.7,0,0,"Horror","Horror","R"
"The Mist ",2007,18,42.66,2.37,9,7.2,126,220.5,0,20000,"Horror","Horror","R"
"Hellboy II: The Golden Army ",2008,85,54.4,0.64,28,7,120,208.4,0,3000,"Action","Action|Adventure|Fantasy|Horror|Sci-Fi","PG-13"
"Prom Night ",2008,20,46.4,2.32,11,3.9,89,27.7,0,1000,"Horror","Horror|Mystery","PG-13"
"Drag Me to Hell ",2009,30,49.8,1.66,16,6.6,99,158.4,0,11000,"Horror","Horror|Thriller","PG-13"
"Halloween II ",2009,15,39.15,2.61,13,4.9,119,36.4,0,3000,"Horror","Horror","R"
"Jennifer's Body ",2009,16,18.08,1.13,16,5.1,107,92.7,1,6000,"Comedy","Comedy|Fantasy|Horror","R"
"The Final Destination ",2009,40,76,1.9,22,5.2,82,75.3,0,0,"Horror","Horror","R"
"The Last House on the Left ",2009,15,32.4,2.16,27,6.6,114,67.8,0,0,"Crime","Crime|Horror|Thriller","R"
"Legion ",2010,26,57.2,2.2,7,5.2,100,80.9,0,0,"Action","Action|Fantasy|Horror","R"
"The Crazies ",2010,20,51,2.55,12,6.5,101,93.3,0,0,"Horror","Horror|Thriller","R"
"Final Destination 5 ",2011,40,100.8,2.52,20,5.9,92,83.8,0,20000,"Horror","Horror","R"
"Red Riding Hood ",2011,42,99.54,2.37,16,5.4,100,91.2,2,20000,"Fantasy","Fantasy|Horror|Mystery|Thriller","PG-13"
"Scream 4 ",2011,40,88.4,2.21,9,6.2,111,104.1,0,26000,"Horror","Horror|Mystery","R"
"The Roommate ",2011,16,43.36,2.71,13,4.8,91,29.1,1,0,"Drama","Drama|Horror|Thriller","PG-13"
"Abraham Lincoln: Vampire Hunter ",2012,69,80.04,1.16,32,5.9,105,128.6,0,98000,"Action","Action|Fantasy|Horror","R"
"Chernobyl Diaries ",2012,1,3.42,3.42,18,5,86,52.6,0,24000,"Horror","Horror|Mystery|Sci-Fi|Thriller","R"
"Dark Shadows ",2012,100,45,0.45,13,6.2,113,199,7,82000,"Comedy","Comedy|Fantasy|Horror","PG-13"
"Frankenweenie ",2012,39,83.85,2.15,14,7,87,73.9,0,25000,"Animation","Animation|Comedy|Family|Horror|Sci-Fi","PG"
"Paranormal Activity 4 ",2012,5,16.7,3.34,22,4.6,96,51.2,0,26000,"Horror","Horror","R"
"Sinister ",2012,3,8.19,2.73,9,6.8,110,155.2,0,58000,"Horror","Horror|Mystery","R"
"The Cabin in the Woods ",2012,30,58.5,1.95,23,7,95,277.2,0,66000,"Fantasy","Fantasy|Horror|Mystery|Thriller","R"
"Underworld: Awakening ",2012,70,92.4,1.32,22,6.4,88,117.1,1,24000,"Action","Action|Fantasy|Horror","R"
"Carrie ",2013,30,79.5,2.65,7,5.9,100,108.2,1,39000,"Drama","Drama|Fantasy|Horror","R"
"Oculus ",2013,5,14.85,2.97,7,6.5,104,85.7,0,23000,"Horror","Horror|Mystery","R"
"Dracula Untold ",2014,70,38.5,0.55,15,6.3,92,138.6,1,37000,"Action","Action|Drama|Fantasy|Horror|War","PG-13"
"It Follows ",2014,2,6.76,3.38,11,6.9,100,112.9,0,45000,"Horror","Horror|Mystery","R"
"Ouija ",2014,5,10.95,2.19,6,4.4,89,31.9,0,18000,"Fantasy","Fantasy|Horror","PG-13"
"Paranormal Activity: The Marked Ones ",2014,5,12.75,2.55,37,5,101,31.8,0,10000,"Fantasy","Fantasy|Horror|Thriller","R"
"Goosebumps ",2015,58,68.44,1.18,11,6.4,103,48,4,35000,"Adventure","Adventure|Comedy|Family|Fantasy|Horror","PG"
"The Lazarus Effect ",2015,3.3,8.22,2.49,19,5.2,83,28.5,0,0,"Horror","Horror|Sci-Fi|Thriller","PG-13"
"The Witch ",2015,3.5,6.76,1.93,10,6.8,92,66.5,0,43000,"Horror","Horror|Mystery","R"
"Lights Out ",2016,4.9,13.13,2.68,11,6.9,81,13.5,0,0,"Horror","Horror","PG-13"
