"weekday","location","store_visitors","discount_percent","units_sold"
"Monday","front",235,10,31
"Monday","left-aisle",188,0,22
"Monday","right-aisle",230,5,32
"Monday","back",237,0,16
"Tuesday","front",219,10,36
"Tuesday","left-aisle",221,10,32
"Tuesday","right-aisle",223,10,28
"Tuesday","back",165,0,11
"Wednesday","front",290,0,30
"Wednesday","left-aisle",280,0,20
"Wednesday","right-aisle",183,5,30
"Wednesday","back",164,0,17
"Thursday","front",192,10,36
"Thursday","left-aisle",276,0,23
"Thursday","right-aisle",221,15,22
"Thursday","back",301,0,24
"Friday","front",153,0,37
"Friday","left-aisle",190,0,15
"Friday","right-aisle",205,0,29
"Friday","back",186,10,15
"Monday","front",171,0,29
"Monday","left-aisle",110,5,22
"Monday","right-aisle",250,0,20
"Monday","back",208,0,13
"Tuesday","front",195,0,32
"Tuesday","left-aisle",177,0,16
"Tuesday","right-aisle",209,10,30
"Tuesday","back",127,0,18
"Wednesday","front",293,5,28
"Wednesday","left-aisle",170,0,28
"Wednesday","right-aisle",179,0,26
"Wednesday","back",197,0,14
"Thursday","front",257,10,38
"Thursday","left-aisle",193,10,27
"Thursday","right-aisle",210,0,29
"Thursday","back",182,5,19
"Friday","front",217,0,37
"Friday","left-aisle",206,0,24
"Friday","right-aisle",255,0,25
"Friday","back",207,5,15
"Monday","front",272,0,31
"Monday","left-aisle",253,5,22
"Monday","right-aisle",203,0,19
"Monday","back",139,0,26
"Tuesday","front",201,5,40
"Tuesday","left-aisle",195,5,19
"Tuesday","right-aisle",248,0,24
"Tuesday","back",175,0,15
"Wednesday","front",271,0,37
"Wednesday","left-aisle",204,5,22
"Wednesday","right-aisle",176,0,25
"Wednesday","back",223,0,15
"Thursday","front",238,5,34
"Thursday","left-aisle",198,5,29
"Thursday","right-aisle",210,0,24
"Thursday","back",160,5,23
"Friday","front",214,5,28
"Friday","left-aisle",194,0,27
"Friday","right-aisle",217,5,27
"Friday","back",155,0,18
"Monday","front",251,5,36
"Monday","left-aisle",244,5,21
"Monday","right-aisle",171,5,24
"Monday","back",215,0,11
"Tuesday","front",285,5,30
"Tuesday","left-aisle",171,0,25
"Tuesday","right-aisle",233,5,28
"Tuesday","back",291,10,17
"Wednesday","front",240,0,37
"Wednesday","left-aisle",217,0,31
"Wednesday","right-aisle",171,0,22
"Wednesday","back",251,5,5
"Thursday","front",203,0,39
"Thursday","left-aisle",211,5,20
"Thursday","right-aisle",170,10,22
"Thursday","back",200,10,21
"Friday","front",254,10,34
"Friday","left-aisle",213,0,19
"Friday","right-aisle",259,5,27
"Friday","back",208,10,16
"Monday","front",293,5,34
"Monday","left-aisle",158,5,25
"Monday","right-aisle",326,5,23
"Monday","back",234,10,19
"Tuesday","front",274,0,34
"Tuesday","left-aisle",202,10,25
"Tuesday","right-aisle",154,10,31
"Tuesday","back",181,5,19
"Wednesday","front",239,0,32
"Wednesday","left-aisle",169,10,27
"Wednesday","right-aisle",154,5,28
"Wednesday","back",180,0,17
"Thursday","front",203,0,35
"Thursday","left-aisle",250,0,20
"Thursday","right-aisle",195,10,31
"Thursday","back",150,10,13
"Friday","front",222,10,45
"Friday","left-aisle",214,10,31
"Friday","right-aisle",237,10,25
"Friday","back",236,0,12
"Monday","front",216,0,31
"Monday","left-aisle",191,0,24
"Monday","right-aisle",212,5,24
"Monday","back",230,15,14
"Tuesday","front",227,5,31
"Tuesday","left-aisle",219,5,24
"Tuesday","right-aisle",156,10,22
"Tuesday","back",172,10,9
"Wednesday","front",240,10,31
"Wednesday","left-aisle",187,0,26
"Wednesday","right-aisle",224,0,21
"Wednesday","back",198,5,18
"Thursday","front",252,0,27
"Thursday","left-aisle",209,0,23
"Thursday","right-aisle",193,0,27
"Thursday","back",204,10,17
"Friday","front",250,5,35
"Friday","left-aisle",180,5,21
"Friday","right-aisle",204,10,22
"Friday","back",170,5,12
