"id","gender","hourly_wage"
1,"Male",166.64
2,"Male",133.09
3,"Female",122.45
4,"Female",187.16
5,"Male",231.94
6,"Female",172.36
7,"Male",166.93
8,"Female",106.41
9,"Female",170.99
10,"Male",159.68
11,"Male",168.35
12,"Female",129.57
13,"Male",216.65
14,"Female",251.92
15,"Male",124.89
16,"Female",140.08
17,"Male",154.77
18,"Male",145.9
19,"Female",121.52
20,"Female",132.1
21,"Male",114.18
22,"Female",129.35
23,"Male",267.08
24,"Male",176.71
25,"Male",226.45
26,"Male",200.73
27,"Female",159.82
28,"Female",129.95
29,"Female",148.02
30,"Male",183.61
31,"Male",242.67
32,"Female",127.41
33,"Female",117.6
34,"Female",222.2
35,"Female",147.01
36,"Male",189.04
37,"Female",120.85
38,"Male",146.1
39,"Male",103.5
40,"Female",189.41
41,"Male",152.73
42,"Male",113.93
43,"Female",102.72
44,"Male",147.9
45,"Female",164.38
46,"Female",156.51
47,"Female",118.85
48,"Male",127.36
49,"Male",260.59
50,"Female",144.76
51,"Female",173.29
52,"Female",179.05
53,"Female",198.57
54,"Male",190.37
55,"Female",120.3
56,"Male",157.31
57,"Male",165.45
58,"Female",132.4
59,"Male",156.59
60,"Female",155.4
61,"Female",106.06
62,"Male",181.04
63,"Male",165.11
64,"Male",164.01
65,"Female",114.74
66,"Female",143.85
67,"Male",228.8
68,"Male",194.77
69,"Male",196.24
70,"Male",124.01
71,"Male",148.23
72,"Female",115.84
73,"Male",227.31
74,"Male",208.25
75,"Male",168.65
76,"Female",179.3
77,"Male",254.22
78,"Female",135.61
79,"Male",210.36
80,"Male",198.14
81,"Male",134.78
82,"Female",236.56
83,"Male",293.92
84,"Female",133.54
85,"Female",152.87
86,"Female",126.45
87,"Male",195.47
88,"Male",97.65
89,"Female",180.09
90,"Female",151.37
91,"Male",185.75
92,"Female",161.78
93,"Male",151.06
94,"Female",161.9
95,"Female",215.1
96,"Female",117.93
97,"Male",228.02
98,"Female",170.84
99,"Female",158.59
100,"Female",236.25
101,"Male",227.01
102,"Male",130.16
103,"Female",128.69
104,"Female",154.46
105,"Female",196.28
106,"Male",147.46
107,"Female",131.14
108,"Female",191.14
109,"Female",170.9
110,"Male",150.09
111,"Female",152.39
112,"Female",143.3
113,"Female",164.27
114,"Female",135.07
115,"Female",114.05
116,"Female",158.35
117,"Female",147.83
118,"Female",149.66
119,"Male",163.57
120,"Male",190.45
121,"Female",131.25
122,"Female",104.71
123,"Male",171.03
124,"Female",115.44
125,"Female",182.06
126,"Male",147.37
127,"Female",212.13
128,"Female",190.77
129,"Male",126.6
130,"Male",126.43
131,"Female",69.62
132,"Female",160.43
133,"Female",227.26
134,"Female",156.35
135,"Female",136.29
136,"Female",156.41
137,"Male",219.62
138,"Male",169.39
139,"Female",131.16
140,"Female",144.01
141,"Male",152.83
142,"Female",176.44
143,"Male",203.41
144,"Female",151.99
145,"Female",178.69
146,"Female",134.41
147,"Male",150.89
148,"Female",168.98
149,"Female",182.47
150,"Male",118.16
151,"Male",110.54
152,"Male",262.73
153,"Female",116.04
154,"Male",110.5
155,"Female",127.28
156,"Female",184.67
157,"Male",154.63
158,"Female",140.9
159,"Male",162.34
160,"Male",139.6
161,"Male",213.41
162,"Male",298.73
163,"Male",123.44
164,"Female",137.24
165,"Male",123.83
166,"Female",170.31
167,"Female",106.84
168,"Male",200.29
169,"Female",152.23
170,"Male",194.78
171,"Female",154.87
172,"Female",189.69
173,"Female",141.23
174,"Male",197.12
175,"Male",217.2
176,"Male",173.72
177,"Male",142.53
178,"Male",150.69
179,"Female",82.58
180,"Male",295.17
181,"Female",267.14
182,"Male",137.9
183,"Female",100.43
184,"Female",164.39
185,"Female",144.1
186,"Male",205.35
187,"Male",293.93
188,"Male",207.48
189,"Male",134.63
190,"Female",101.36
191,"Female",152.68
192,"Male",158.17
193,"Female",148.98
194,"Female",141.09
195,"Female",171.61
196,"Female",124.54
197,"Female",145.2
198,"Female",109.85
199,"Female",204.98
200,"Female",252.19
201,"Female",123.42
202,"Female",128.31
203,"Female",218.57
204,"Female",233.36
205,"Female",99.31
206,"Male",143.47
207,"Female",135.31
208,"Male",162.6
209,"Female",184.06
210,"Male",191.89
211,"Male",199.84
212,"Male",153.88
213,"Male",183.47
214,"Female",126.84
215,"Female",153.72
216,"Female",136.21
217,"Male",120.54
218,"Female",162.33
219,"Male",199.11
