"country","region","happiness_score","gdp_per_capita","social_support","life_expectancy","freedom","generosity"
"Switzerland","Europe",7.587,1.3965,1.3495,0.9414,0.6656,0.2968
"Iceland","Europe",7.561,1.3023,1.4022,0.9478,0.6288,0.4363
"Denmark","Europe",7.527,1.3255,1.3606,0.8746,0.6494,0.3414
"Norway","Europe",7.522,1.459,1.331,0.8852,0.6697,0.347
"Canada","Americas",7.427,1.3263,1.3226,0.9056,0.633,0.4581
"Finland","Europe",7.406,1.2902,1.3183,0.8891,0.6417,0.2335
"Netherlands","Europe",7.378,1.3294,1.2802,0.8928,0.6158,0.4761
"Sweden","Europe",7.364,1.3317,1.2891,0.9109,0.6598,0.3626
"Israel","Africa & Middle East",7.278,1.2286,1.2239,0.9139,0.4132,0.3317
"Costa Rica","Americas",7.226,0.9558,1.2379,0.8603,0.6338,0.255
"Austria","Europe",7.2,1.3372,1.297,0.8904,0.6243,0.3309
"Mexico","Americas",7.187,1.0205,0.9145,0.8144,0.4818,0.1407
"United States","Americas",7.119,1.3945,1.2471,0.8618,0.546,0.401
"Brazil","Americas",6.983,0.9812,1.2329,0.697,0.4905,0.1457
"Luxembourg","Europe",6.946,1.5639,1.2196,0.9189,0.6158,0.2803
"Ireland","Europe",6.94,1.336,1.3695,0.8953,0.6178,0.459
"Belgium","Europe",6.937,1.3078,1.2857,0.8967,0.5845,0.2225
"United Arab Emirates","Africa & Middle East",6.901,1.4273,1.1258,0.8092,0.6416,0.2643
"United Kingdom","Europe",6.867,1.2664,1.2855,0.9094,0.5962,0.5191
"Oman","Africa & Middle East",6.853,1.3601,1.0818,0.7628,0.6327,0.2154
"Venezuela","Americas",6.81,1.0442,1.256,0.7205,0.4291,0.0584
"Singapore","Asia",6.798,1.5219,1.02,1.0252,0.5425,0.311
"Panama","Americas",6.786,1.0635,1.1985,0.7966,0.5421,0.2443
"Germany","Europe",6.75,1.3279,1.2994,0.8919,0.6148,0.2821
"Chile","Americas",6.67,1.1072,1.1245,0.8586,0.4413,0.3336
"Qatar","Africa & Middle East",6.611,1.6904,1.0786,0.7973,0.6404,0.3257
"France","Europe",6.575,1.2778,1.2604,0.9458,0.5501,0.1233
"Argentina","Americas",6.574,1.0535,1.2482,0.7872,0.4497,0.1145
"Czech Republic","Europe",6.505,1.179,1.2064,0.8448,0.4636,0.1069
"Uruguay","Americas",6.485,1.0617,1.2089,0.8116,0.6036,0.2324
"Colombia","Americas",6.477,0.9186,1.2402,0.6908,0.5347,0.184
"Thailand","Asia",6.455,0.9669,1.265,0.7385,0.5566,0.5763
"Saudi Arabia","Africa & Middle East",6.411,1.3954,1.0839,0.7202,0.3105,0.1371
"Spain","Europe",6.329,1.2301,1.3138,0.9556,0.4595,0.1823
"Malta","Europe",6.302,1.2074,1.302,0.8872,0.6036,0.5175
"Taiwan","Asia",6.298,1.291,1.0762,0.8753,0.3974,0.2538
"Kuwait","Africa & Middle East",6.295,1.5542,1.1659,0.7249,0.555,0.1623
"Suriname","Americas",6.269,0.9953,0.972,0.6082,0.5966,0.1699
"Trinidad and Tobago","Americas",6.168,1.2118,1.1835,0.6148,0.5588,0.3184
"El Salvador","Americas",6.13,0.7645,1.0251,0.6774,0.4035,0.1069
"Guatemala","Americas",6.123,0.7455,1.0436,0.6442,0.5773,0.2749
"Uzbekistan","Europe",6.003,0.6324,1.3404,0.5977,0.6582,0.2284
"Slovakia","Europe",5.995,1.1689,1.27,0.789,0.3175,0.1689
"Japan","Asia",5.987,1.2707,1.2571,0.9911,0.4962,0.1071
"South Korea","Asia",5.984,1.2446,0.9577,0.9654,0.3321,0.1856
"Ecuador","Americas",5.975,0.864,0.999,0.7908,0.4857,0.1154
"Bahrain","Africa & Middle East",5.96,1.3238,1.2162,0.7472,0.4549,0.1736
"Italy","Europe",5.948,1.2511,1.1978,0.9545,0.2624,0.2282
"Bolivia","Americas",5.89,0.6813,0.9784,0.5392,0.5741,0.2054
"Moldova","Europe",5.889,0.5945,1.0153,0.6183,0.3282,0.2095
"Paraguay","Americas",5.878,0.7598,1.3048,0.661,0.539,0.3424
"Kazakhstan","Europe",5.855,1.1225,1.1224,0.6437,0.5165,0.1183
"Slovenia","Europe",5.848,1.185,1.2738,0.8734,0.6086,0.2533
"Lithuania","Europe",5.833,1.1472,1.2574,0.7313,0.2134,0.0264
"Nicaragua","Americas",5.828,0.5933,1.1418,0.7431,0.5548,0.2782
"Peru","Americas",5.824,0.9002,0.9746,0.7302,0.415,0.1498
"Belarus","Europe",5.813,1.0319,1.2329,0.7361,0.3794,0.1105
"Poland","Europe",5.791,1.1256,1.2795,0.779,0.5312,0.1676
"Malaysia","Asia",5.77,1.1249,1.0702,0.7239,0.5302,0.3308
"Croatia","Europe",5.759,1.0825,0.7962,0.788,0.2588,0.0544
"Libya","Africa & Middle East",5.754,1.1315,1.1186,0.7038,0.4167,0.183
"Russia","Europe",5.716,1.1376,1.2362,0.6693,0.3668,0.002
"Jamaica","Americas",5.709,0.8104,1.151,0.6874,0.5044,0.2123
"North Cyprus","Europe",5.695,1.2081,1.0701,0.9236,0.4903,0.2617
"Cyprus","Europe",5.689,1.2081,0.8932,0.9236,0.4067,0.3064
"Algeria","Africa & Middle East",5.605,0.9393,1.0777,0.6177,0.2858,0.0782
"Kosovo","Europe",5.589,0.8015,0.812,0.6313,0.2475,0.2831
"Turkmenistan","Europe",5.548,0.9585,1.2267,0.5389,0.4761,0.1698
"Mauritius","Africa & Middle East",5.477,1.0076,0.9852,0.7095,0.5607,0.3774
"Hong Kong","Asia",5.474,1.386,1.0582,1.0133,0.5961,0.3948
"Estonia","Europe",5.429,1.1517,1.2279,0.7736,0.4489,0.0868
"Indonesia","Asia",5.399,0.8283,1.0871,0.6379,0.4661,0.5154
"Vietnam","Asia",5.36,0.6322,0.9123,0.7468,0.5944,0.1686
"Turkey","Africa & Middle East",5.332,1.061,0.9463,0.7317,0.2282,0.1225
"Kyrgyzstan","Europe",5.286,0.4743,1.1511,0.6509,0.4348,0.3003
"Nigeria","Africa & Middle East",5.268,0.6544,0.9043,0.1601,0.3433,0.2723
"Bhutan","Asia",5.253,0.7704,1.1039,0.5741,0.5321,0.48
"Azerbaijan","Europe",5.212,1.0239,0.9379,0.6404,0.3703,0.078
"Pakistan","Asia",5.194,0.5954,0.4141,0.5147,0.121,0.3367
"Jordan","Africa & Middle East",5.192,0.902,1.0539,0.6964,0.4066,0.1105
"Montenegro","Europe",5.192,0.9744,0.9056,0.7252,0.1826,0.1614
"China","Asia",5.14,0.8901,0.9468,0.8166,0.517,0.0819
"Zambia","Africa & Middle East",5.129,0.4704,0.9161,0.2992,0.4883,0.1959
"Romania","Europe",5.124,1.0434,0.8859,0.7689,0.3507,0.1375
"Serbia","Europe",5.123,0.9205,1.0096,0.7484,0.2011,0.1923
"Portugal","Europe",5.102,1.1599,1.1394,0.8752,0.5147,0.1372
"Latvia","Europe",5.098,1.1131,1.0956,0.7244,0.2967,0.1823
"Philippines","Asia",5.073,0.7053,1.0352,0.5811,0.6254,0.2499
"Somaliland region","Africa & Middle East",5.057,0.1885,0.9515,0.4387,0.4658,0.5032
"Morocco","Africa & Middle East",5.013,0.7348,0.641,0.6095,0.4169,0.0717
"Macedonia","Europe",5.007,0.9185,1.0023,0.7354,0.3346,0.2236
"Mozambique","Africa & Middle East",4.971,0.0831,1.0263,0.0913,0.3404,0.2227
"Albania","Europe",4.959,0.8787,0.8043,0.8132,0.3573,0.1427
"Bosnia and Herzegovina","Europe",4.949,0.8322,0.9192,0.7908,0.0925,0.2481
"Lesotho","Africa & Middle East",4.898,0.3754,1.041,0.0761,0.3177,0.1639
"Dominican Republic","Americas",4.885,0.8954,1.172,0.6682,0.5767,0.2168
"Laos","Asia",4.876,0.5907,0.738,0.5491,0.5959,0.4219
